ID,Area,Feature,User story,Expected behaviour (from code),Code reference,How tested,Baseline result,Errors found,Fix applied,Post-fix result,Status
WS-12,Workspace shell,Explicit reload of a stale view,"As an analyst, I want a stale view to stay on screen with a RELOAD button, so that the lens only moves when I choose.",Stale marker above the retained document; RELOAD refetches and clears the stale mark.,states/RegionState.tsx stale; Workspace.tsx reload,unit states.test; workbench states.spec,PASS: stale marker over the kept body; RELOAD clears,,,PASS (re-tested 2026-09-11),Passing
WS-13,Workspace shell,Section tabs with keyboard,"As a keyboard analyst, I want the section's tabs to use arrow keys, so that I can switch views without a mouse.","Tabs from chrome.tabs; one tab stop (roving tabindex); ArrowLeft/Right wrap, Home/End jump; tab id drives the body; tabs never navigate between sections.",frontend/src/chrome/SectionTabs.tsx,browser,"PASS: roving tabindex, arrows wrap, Home/End",,,PASS (re-tested 2026-09-11),Passing
WS-14,Workspace shell,Evidence surface closes on navigation,"As an analyst, I want an open drawer or passport to close when I change page, so that no dialog outlives its opener.",EvidenceProvider is keyed on pathname: navigating remounts it and closes any drawer/passport.,frontend/src/app/App.tsx Shell,browser,PASS: drawer closes on navigation,,,PASS (re-tested 2026-09-11),Passing
WS-15,Workspace shell,No command palette,"As an analyst, I want the rail to be the only navigation, so that there is one way to reach things.",Cmd/Ctrl-K opens nothing; no second navigation surface.,IA_SPEC 3; workbench navigation.spec,workbench navigation.spec,PASS,,,PASS (re-tested 2026-09-11),Passing
WS-16,Workspace shell,Static export per URL,"As an operator, I want every section URL and pre-v2 slug to exist as a static page, so that a static host serves the workspace with no Node.",npm run build copies dist/index.html to dist/<slug>/index.html for the 9 sections and 16 slugs.,frontend/scripts/export-sections.mjs,build + file check,PASS: 25 exported index.html,,,PASS (re-tested 2026-09-11),Passing
WS-17,Workspace shell,Wire key strictness,"As an analyst, I want a malformed section document refused rather than half-rendered, so that I never read a document the client does not understand.","Top-level keys must be a subset of {chrome, body, observed_at, observed_empty, status, notes} including the first three; chrome must carry exactly its 8 keys; else WIRE_KEYS_MISMATCH.",frontend/src/wire/keys.ts; app/transport.ts classify(),unit transport.test,"PASS: vitest 134/134; workbench 78/78 (3 engines); axe 189/189 entries, 0 violations",,,PASS (re-tested 2026-09-11),Passing
CH-01,Chrome bands,Ribbon,"As an analyst, I want a ribbon that says what I am looking at and whether it is trustworthy, so that context is never ambiguous.","Brand; subject case chip (issuer on hover); context chips with tone; exec/saved/approval states; at most three actions, exactly one primary.",frontend/src/chrome/Ribbon.tsx,unit chrome.test; workbench chrome.spec; browser,"PASS: ≤3 actions, exactly one primary on all nine",,,PASS (re-tested 2026-09-11),Passing
CH-02,Chrome bands,Ribbon actions state their refusal,"As an analyst, I want a ribbon action that cannot act to stay visible with its code and what clears it, so that I learn the real model of the system.",Refused actions are aria-disabled buttons; title + sr-only reason; clicking flashes the reason for 4 s (role=status). Live actions act.,Ribbon.tsx; controls/RefusedControl.tsx; ds/ActionReason.tsx,unit states.test; browser,FAIL: ERR-01,"ERR-01: Refusal reasons name build phases that have already exited ('Phase 2 admits…', 'Phase 5 places the provider', 'Phase 6 derives identity…', 'the backend phase that owns this action lands (docs/REBUILD_PLAN.md)'). All are false today and developer-facing: the store, provider and identity exist; what is missing is an HTTP route.","ERR-01: Every unplaced refusal now names the real blocker (READ_ONLY_API: 'this build's API serves only the run document and its event stream'); Rail Ask → ASK_UNPLACED, Sign out → SIGN_OUT_UNPLACED (the authenticating proxy owns sign-out). Tests: helpers/chrome/directory/upload 'names what clears it today'.","PASS (re-tested) — story checker, unit and workbench green",Fixed
CH-03,Chrome bands,Decision brief,"As an analyst, I want CHANGE · IMPACT · ACTION · EVIDENCE and one headline figure on every section, so that I know what changed and what to do.","Four labelled cells plus headline, always rendered (fallback text when no document).",frontend/src/chrome/DecisionBrief.tsx,workbench chrome.spec; browser,PASS,,,PASS (re-tested 2026-09-11),Passing
CH-04,Chrome bands,Verdict strip,"As an analyst, I want the single conclusion with its severity and what blocks it, so that the state of the section is one line.","Severity mark (shape+hue) + word, conclusion, ' · blocked on X' when blocked.",frontend/src/chrome/VerdictStrip.tsx,unit chrome.test; browser,PASS,,,PASS (re-tested 2026-09-11),Passing
CH-05,Chrome bands,Fallback chrome,"As an analyst, I want the four bands present even while loading, offline or refused, so that the page shape never changes.","With no document the bands carry the state (LOADING/OFFLINE/UNAVAILABLE/code) and invent no subject, action or role.",frontend/src/chrome/fallback.ts,unit helpers.test; workbench states.spec,FAIL: ERR-06,"ERR-06: Client-owned refusal 'clears' strings are capitalised sentences, so the region reads 'Clears when The store answers again.' and the fallback brief doubles the period ('…again..').; ERR-29","ERR-06: Client refusal clauses are lower-case and unpunctuated; fallback brief strips a trailing stop before adding one; the fixture server's 503 body likewise. Tests: helpers 'ends its clause once', 'read as a clause after clears when'.","PASS (re-tested) — story checker, unit and workbench green",Fixed
CH-06,Chrome bands,Severity is shape and hue,"As a colour-blind analyst, I want severity drawn as a shape as well as a colour, so that I can read status without hue.","SUCCESS/RUNNING disc, WARNING triangle, CRITICAL rounded square, IDLE flat dot; aria-label names the severity.",frontend/src/chrome/SeverityMark.tsx,unit chrome.test/helpers.test,"PASS: vitest 134/134; workbench 78/78 (3 engines); axe 189/189 entries, 0 violations",,,PASS (re-tested 2026-09-11),Passing
ST-01,Region states,Loading,"As an analyst, I want a loading marker while the document is on the wire, so that I know the page is working.",SurfaceState kind=loading with role=status aria-live=polite; no skeleton text.,states/RegionState.tsx; ds/SurfaceState.tsx,unit states.test,"PASS: vitest 134/134; workbench 78/78 (3 engines); axe 189/189 entries, 0 violations",,,PASS (re-tested 2026-09-11),Passing
ST-02,Region states,Observed-empty with timestamp,"As an analyst, I want 'No material change' only when the server observed nothing at a stated time, so that silence is never read as a result.",observed_empty=true requires observed_at; renders 'No material change' + time; untimed observed-empty refused OBSERVED_EMPTY_UNTIMED.,transport.ts classify(); RegionState.tsx,unit states/transport.test; workbench states.spec,PASS,,,PASS (re-tested 2026-09-11),Passing
ST-03,Region states,Typed refusal,"As an analyst, I want a failed request to show its code and what clears it, never an exception, so that I know how to proceed.","Non-2xx (not 404) → error with {code, clears}; non-typed body → RESPONSE_INVALID; region shows 'Refused', code, 'Clears when …'.",transport.ts fetchSection/refusalOf; RegionState.tsx,unit transport.test; workbench states.spec,FAIL: ERR-06,"ERR-06: Client-owned refusal 'clears' strings are capitalised sentences, so the region reads 'Clears when The store answers again.' and the fallback brief doubles the period ('…again..').; ERR-29","ERR-06: Client refusal clauses are lower-case and unpunctuated; fallback brief strips a trailing stop before adding one; the fixture server's 503 body likewise. Tests: helpers 'ends its clause once', 'read as a clause after clears when'.","PASS (re-tested) — story checker, unit and workbench green",Fixed
ST-04,Region states,Unavailable (observed 404),"As an analyst, I want a 404 to read exactly like an absent route, so that a private case is never confirmed.",404 → 'Unavailable or not permitted.'; identical wording to an absent route.,transport.ts; RegionState.tsx,unit states.test; browser,PASS,,,PASS (re-tested 2026-09-11),Passing
ST-05,Region states,Offline,"As an analyst, I want one plain sentence when the request never reached the server, so that I am not shown engine text.",Network failure → page alert 'The request did not reach the server.' + offline marker; no engine text.,transport.ts; states/PageAlert.tsx,unit transport.test; workbench states.spec,PASS,,,PASS (re-tested 2026-09-11),Passing
ST-06,Region states,Stale,"As an analyst, I want to know when the authority changed under the view I am reading, so that I do not act on an outdated lens.",Stale marker with explanation and RELOAD; document stays visible beneath.,RegionState.tsx stale,unit states.test; workbench states.spec,PASS (see WS-12),,,PASS (re-tested 2026-09-11),Passing
ST-07,Region states,Partial,"As an analyst, I want a partially served document rendered with its notes, so that I read what exists and what is missing.",status=partial → warning marker listing notes (or 'Rendered with warning status.') above the body.,transport.ts; RegionState.tsx partial,unit transport.test; workbench states.spec,PASS,,,PASS (re-tested 2026-09-11),Passing
ST-08,Region states,Ready has no marker,"As an analyst, I want a ready region to show only its content, so that markers always mean something.",ready renders children with no state marker.,RegionState.tsx ready,unit states.test,PASS,,,PASS (re-tested 2026-09-11),Passing
EV-01,Evidence surface,Citation chip → evidence drawer,"As an analyst, I want every chip ('D-04 p.68 ¶2') to open the page with the quoted rectangle, so that every figure is one click from its evidence.","Chip button opens the one drawer: title 'source · page N', page render (or silhouette), one rectangle per bbox, matched text, document digest, observed time, rectangle count.",evidence/CitationChip.tsx; evidence/EvidenceDrawer.tsx,unit evidence.test; workbench evidence.spec; browser,FAIL: ERR-08,"ERR-08: D-06 reads ADMITTED (grade B) in Analysis's source register but WITHDRAWN (grade C) in Upload for the same case and set; and no conclusion citing D-06 is marked, although Upload states 'every conclusion that cited it is marked'.","ERR-08: Citation gains optional `withdrawn_at`; chips and paper cites of a withdrawn source are struck through, dashed and named '· source withdrawn'; the drawer shows the withdrawal. All 16 D-06 citations carry it; Analysis's register shows D-06 WITHDRAWN, grade C. Tests: evidence (3), analysis 'register agrees with Upload'.","PASS (re-tested) — story checker, unit and workbench green",Fixed
EV-02,Evidence surface,Dialog focus discipline,"As a keyboard analyst, I want Escape or Close to return focus to the chip that opened the drawer, so that I never lose my place.",Opener passed explicitly; focus trapped inside; Escape/close/scrim close; focus restored to opener; body scroll locked while open.,ds/use-modal-a11y.ts,unit hooks.test/evidence.test; workbench evidence.spec,"PASS: trap, Escape restores the chip, scroll lock released",,,PASS (re-tested 2026-09-11),Passing
EV-03,Evidence surface,Metric passport (ten fields),"As a PM, I want any metric cell to open a passport with definition, period, scenario, evidence date, computed at, snapshot, method, derivation, citations and supporting research, so that every number explains itself.",Dialog 'Passport · <label>' with value+unit; the ten fields in order; driver row (and PROJECTED badge) for a projected cell; deviation row with restatement when present.,evidence/MetricPassport.tsx; wire/shared.ts PASSPORT_FIELDS,unit evidence.test; workbench passport.spec,PASS: ten fields in order + deviation,,,PASS (re-tested 2026-09-11),Passing
EV-04,Evidence surface,Stacked evidence dialogs,"As an analyst, I want a chip inside the passport to open the drawer on top, and Escape to close only the top one, so that stacked dialogs behave predictably.",Overlay stack: Escape closes the topmost overlay only; focus returns to its opener.,ds/use-modal-a11y.ts overlayStack,browser,"PASS: Escape closes the drawer over the passport, then the passport; focus to the cell",,,PASS (re-tested 2026-09-11),Passing
EV-05,Evidence surface,Chip expanded state,"As a screen-reader analyst, I want the chip to announce that its drawer is open, so that I know which evidence is showing.",aria-haspopup=dialog; aria-expanded true on the chip whose citation is open.,CitationChip.tsx,unit evidence.test,PASS,,,PASS (re-tested 2026-09-11),Passing
DIR-01,Directory /directory/,Case register,"As an analyst, I want a register of cases with issuer, sector, rating, pathway, snapshot, state, leverage and update time, so that I can find the case I need.",Table of cases; columns no row fills are not drawn; state = severity mark + word; updated shown as 'YYYY-MM-DD HH:MMZ'.,sections/directory/CaseRegister.tsx,unit directory.test; browser,FAIL: ERR-05,ERR-05: The case register draws its first row as selected (accent border) although the register has no selection model; the highlight jumps to whichever row search or the filter puts first.,ERR-05: CaseRegister no longer draws a selected row (selection prop removed). Test: directory 'no row of the register is drawn selected'.,"PASS (re-tested) — story checker, unit and workbench green",Fixed
DIR-02,Directory /directory/,Search,"As an analyst, I want to search by issuer, sector, snapshot or case id, so that I can narrow the register quickly.","Case-insensitive substring over case id, issuer, sector, pathway, snapshot; 'N OF M SHOWN'; 'No case matches.' when empty.",sections/directory/DirectorySection.tsx matches(),unit directory.test; browser,PASS,,,PASS (re-tested 2026-09-11),Passing
DIR-03,Directory /directory/,One filter,"As an analyst, I want exactly one filter (State), so that the register stays simple.",Select labelled from body.filter with 'All' plus served options; filters rows by state.,DirectorySection.tsx RegisterTab,unit directory.test; browser,PASS,,,PASS (re-tested 2026-09-11),Passing
DIR-04,Directory /directory/,Open case (one action per row),"As an analyst, I want each row's single action to open the case, so that there is no batch state to misuse.",Each row has one 'Open case' link to /analysis/?case=<id>; no checkboxes or selection model.,CaseRegister.tsx caseHref(),unit directory.test; browser,PASS,,,PASS (re-tested 2026-09-11),Passing
DIR-05,Directory /directory/,Open-intake summary,"As an analyst, I want a line telling me an intake is open for review, so that I do not miss uncommitted suggestions.","Under the register: '<n> files admitted as one pack · x of y suggestions uncommitted · run <id> opened for review, not accepted'; 'No intake is open.' otherwise.",DirectorySection.tsx IntakeLine,browser,PASS (latent defect found in code review: ERR-21),ERR-30,ERR-21: Pluralised; sizeOf() prints bytes under 1 KB. Test: directory 'an intake of one small file reads in the singular and in bytes'.,"PASS (re-tested) — story checker, unit and workbench green",Fixed
DIR-06,Directory /directory/,Labelled intake suggestions,"As an analyst, I want every machine proposal labelled SUGGESTED until a person commits it, so that nothing the server guessed is taken as fact.",Rows key/value/why; SUGGESTED or COMMITTED tag; count tag; Commit control visible and refused with an accurate reason.,sections/directory/IntakeSuggestions.tsx,unit directory.test; browser,FAIL: ERR-01,"ERR-01: Refusal reasons name build phases that have already exited ('Phase 2 admits…', 'Phase 5 places the provider', 'Phase 6 derives identity…', 'the backend phase that owns this action lands (docs/REBUILD_PLAN.md)'). All are false today and developer-facing: the store, provider and identity exist; what is missing is an HTTP route.","ERR-01: Every unplaced refusal now names the real blocker (READ_ONLY_API: 'this build's API serves only the run document and its event stream'); Rail Ask → ASK_UNPLACED, Sign out → SIGN_OUT_UNPLACED (the authenticating proxy owns sign-out). Tests: helpers/chrome/directory/upload 'names what clears it today'.","PASS (re-tested) — story checker, unit and workbench green",Fixed
DIR-07,Directory /directory/,Intake run opened for review,"As an analyst, I want the completed intake run linked for review, never accepted for me, so that acceptance stays a human act.",Note + link 'Open <run> in Run' to /run/?case=<case>.,IntakeSuggestions.tsx,unit directory.test; browser,PASS,,,PASS (re-tested 2026-09-11),Passing
DIR-08,Directory /directory/,What committing writes,"As an analyst, I want to see what committing the intake would write, so that I commit knowingly.","Panel: case, files · one pack, route selection, 'Analysis: none'; note that the case opens at Run at the plan gate.",DirectorySection.tsx Committing,browser,PASS,,,PASS (re-tested 2026-09-11),Passing
DIR-09,Directory /directory/,Admitted pack list,"As an analyst, I want the admitted files with size and digest, so that I can confirm which bytes entered the case.","List of files: name, size in KB, 12-char digest (full in title); 'N OF N' all-or-none tag.",DirectorySection.tsx AdmittedPack,browser,PASS (latent defect found in code review: ERR-21),ERR-30,ERR-21: Pluralised; sizeOf() prints bytes under 1 KB. Test: directory 'an intake of one small file reads in the singular and in bytes'.,"PASS (re-tested) — story checker, unit and workbench green",Fixed
DIR-10,Directory /directory/,Document drop,"As an analyst, I want to drop documents for a case, so that intake starts from the documents, not a form.",Labelled multi-file input; shows how many files are selected; the browser proposes nothing itself; submitting is visible and refused while no intake route is served.,IntakeSuggestions.tsx IntakeDrop,unit directory.test; browser,FAIL: ERR-04,"ERR-04: Directory › Intake accepts dropped files and says they will be 'admitted as one pack, or none', but offers no admit control (live or refused) and sends nothing, so selecting files silently does nothing.","ERR-04: The drop region carries a visible, refused Admit pack (INTAKE_UNPLACED, reason inline) and the selected-files line says 'not sent'. Test: directory 'chosen files are said not to be sent …'.","PASS (re-tested) — story checker, unit and workbench green",Fixed
DIR-11,Directory /directory/,Empty register,"As an analyst in a fresh deployment, I want an empty register stated as observed, so that 'nothing here' is a fact with a time.","?fixture=observed-empty → No material change + timestamp; no rows, no intake.",fixtures/states/directory.observed-empty.json,unit directory.test; workbench states.spec,PASS,,,PASS (re-tested 2026-09-11),Passing
UPL-01,Upload /upload/,Source pack rows,"As an analyst, I want each source's grade, disposition, pages, digest and set versions, so that I know exactly what the case holds.","Row: grade badge, label + file · family, disposition tag, pages, 12-char digest (full in title), set-version pills with pinned highlighted, withdrawal cell.",sections/upload/SourcePack.tsx,unit upload.test; browser,PASS (latent defect found in code review: ERR-22),,ERR-22: Message chosen by tab. Test: upload 'an empty pack says the pack is empty'.,"PASS (re-tested) — story checker, unit and workbench green",Fixed
UPL-02,Upload /upload/,Pack counts,"As an analyst, I want to know how many sources exist and how many are in the pinned set, so that I can spot a gap.",Header tags 'N SOURCES' and 'M IN <pinned set>'.,sections/upload/UploadSection.tsx,browser,PASS,,,PASS (re-tested 2026-09-11),Passing
UPL-03,Upload /upload/,Withdrawal checked live,"As an analyst, I want the time withdrawal was last checked on each source, so that I trust the source is still usable.",'checked live at HH:MMZ'; withdrawn rows marked 'Withdrawn <stamp>' and styled; Withdraw control refused SOURCE_ALREADY_WITHDRAWN / SOURCE_NOT_ADMITTED / accurate unplaced reason.,"SourcePack.tsx WithdrawalCell, withdrawRefusal()",unit upload.test/helpers.test; browser,FAIL: ERR-01 ERR-20,"ERR-01: Refusal reasons name build phases that have already exited ('Phase 2 admits…', 'Phase 5 places the provider', 'Phase 6 derives identity…', 'the backend phase that owns this action lands (docs/REBUILD_PLAN.md)'). All are false today and developer-facing: the store, provider and identity exist; what is missing is an HTTP route. | ERR-20: Short tokens split across lines: Report's deliverable list shows 'CP-' / '1A', Upload's withdrawal cell shows '2026-09-' / '09 09:41Z'.","ERR-01: Every unplaced refusal now names the real blocker (READ_ONLY_API: 'this build's API serves only the run document and its event stream'); Rail Ask → ASK_UNPLACED, Sign out → SIGN_OUT_UNPLACED (the authenticating proxy owns sign-out). Tests: helpers/chrome/directory/upload 'names what clears it today'. | ERR-20: `.secrow .src` and withdrawal timestamps are nowrap. Test: workbench layout.spec 'module ids and timestamps never wrap inside themselves'.","PASS (re-tested) — story checker, unit and workbench green",Fixed
UPL-04,Upload /upload/,Withdrawals tab,"As an analyst, I want a view of withdrawn sources only, so that I can see what no run may read.",Only rows with withdrawn_at; note SOURCE_WITHDRAWN refusal at use; 'No source is withdrawn.' when none.,UploadSection.tsx,unit upload.test; browser,FAIL: ERR-08,"ERR-08: D-06 reads ADMITTED (grade B) in Analysis's source register but WITHDRAWN (grade C) in Upload for the same case and set; and no conclusion citing D-06 is marked, although Upload states 'every conclusion that cited it is marked'.","ERR-08: Citation gains optional `withdrawn_at`; chips and paper cites of a withdrawn source are struck through, dashed and named '· source withdrawn'; the drawer shows the withdrawal. All 16 D-06 citations carry it; Analysis's register shows D-06 WITHDRAWN, grade C. Tests: evidence (3), analysis 'register agrees with Upload'.","PASS (re-tested) — story checker, unit and workbench green",Fixed
UPL-05,Upload /upload/,Set versions,"As an analyst, I want the immutable set versions with the pinned one marked, so that I know what the run reads.","Rows: version, sources, pinned time; pinned row marked; 'Pin set' refused SET_ALREADY_PINNED on the pinned row and with an accurate reason elsewhere.",sections/upload/SetVersions.tsx,unit upload.test; browser,FAIL: ERR-01,"ERR-01: Refusal reasons name build phases that have already exited ('Phase 2 admits…', 'Phase 5 places the provider', 'Phase 6 derives identity…', 'the backend phase that owns this action lands (docs/REBUILD_PLAN.md)'). All are false today and developer-facing: the store, provider and identity exist; what is missing is an HTTP route.","ERR-01: Every unplaced refusal now names the real blocker (READ_ONLY_API: 'this build's API serves only the run document and its event stream'); Rail Ask → ASK_UNPLACED, Sign out → SIGN_OUT_UNPLACED (the authenticating proxy owns sign-out). Tests: helpers/chrome/directory/upload 'names what clears it today'.","PASS (re-tested) — story checker, unit and workbench green",Fixed
UPL-06,Upload /upload/,Restatements surfaced,"As an analyst, I want a figure restated across intakes shown as two readings with citations, so that nothing is silently merged.","Table: restated figure, divergence, each reading's source/value/chip; 'NOT RESOLVED' tag.",sections/upload/Restatements.tsx,unit upload.test; browser,PASS,,,PASS (re-tested 2026-09-11),Passing
UPL-07,Upload /upload/,Partial pack,"As an analyst, I want to be told when a withdrawal check is pending, so that I do not assume a source is readable.",?fixture=partial → partial marker with the pending note above the pack.,fixtures/states/upload.partial.json,unit upload.test; a11y routes,PASS,,,PASS (re-tested 2026-09-11),Passing
UPL-08,Upload /upload/,Admit pack action,"As an analyst, I want the Admit pack action to tell me truthfully how to add documents, so that I am not sent looking for a file picker that is not there.",Ribbon 'Admit pack' is refused with a reason the analyst can act on from this workspace.,fixtures/upload.json ribbon.actions,browser,FAIL: ERR-03,"ERR-03: Upload's 'Admit pack' refusal says 'clears when at least one file is selected', but the Upload section has no file input, so the instruction cannot be followed.",ERR-03: Upload's Admit pack now refuses INTAKE_UNPLACED naming the intake route and where documents are chosen. Test: upload 'none asks for a file this page cannot take'.,"PASS (re-tested) — story checker, unit and workbench green",Fixed
ANA-01,Analysis /analysis/,Three-column layout,"As an analyst, I want sources and evidence left, module output centre, and the case's clearance and structure right, so that the dominant section reads in one sweep.","cols three: left register+trace; centre tabpanel labelled by the active tab; right clearance, frontier, capital, triggers.",sections/analysis/AnalysisSection.tsx,unit analysis.test; browser,PASS,,,PASS (re-tested 2026-09-11),Passing
ANA-02,Analysis /analysis/,Source register (CP-0),"As an analyst, I want the pinned sources with grade, pages and disposition, so that I know what the analysis stands on.",One row per source; 'N ADMITTED' tag counts ADMITTED dispositions.,sections/analysis/SourceRegister.tsx,browser,FAIL: ERR-08,"ERR-08: D-06 reads ADMITTED (grade B) in Analysis's source register but WITHDRAWN (grade C) in Upload for the same case and set; and no conclusion citing D-06 is marked, although Upload states 'every conclusion that cited it is marked'.","ERR-08: Citation gains optional `withdrawn_at`; chips and paper cites of a withdrawn source are struck through, dashed and named '· source withdrawn'; the drawer shows the withdrawal. All 16 D-06 citations carry it; Analysis's register shows D-06 WITHDRAWN, grade C. Tests: evidence (3), analysis 'register agrees with Upload'.","PASS (re-tested) — story checker, unit and workbench green",Fixed
ANA-03,Analysis /analysis/,Ranked evidence trace (CP-5),"As an analyst, I want the ranked evidence with confidence and anchor, so that I can see what the conclusion leans on most.","#rank heading; 'NN% · HIGH/MEDIUM/LOW' (≥85, ≥60, else); module id and chip.",sections/analysis/EvidenceTrace.tsx; tone.ts,unit helpers.test; browser,PASS,,,PASS (re-tested 2026-09-11),Passing
ANA-04,Analysis /analysis/,Tab selects module output,"As an analyst, I want each tab to show that module's accepted output, so that I read one module at a time.","Tab cp ↔ module_id; CP-1 → financials, conflicts, adjusted, steps; CP-6A → debate; other modules → artifact summary with anchored trace rows.",sections/analysis/ModuleOutput.tsx,unit analysis.test; browser,PASS,,,PASS (re-tested 2026-09-11),Passing
ANA-05,Analysis /analysis/,Normalised financials (CP-1),"As an analyst, I want to click any financial cell to see its derivation and passport, so that every figure is one click from its evidence.",Every value is a button; selection highlights the cell and drives the formula bar; cells with a passport open it; at rest the bar reads the latest-period headline total.,sections/analysis/Financials.tsx,unit analysis.test; browser,PASS,,,PASS (re-tested 2026-09-11),Passing
ANA-06,Analysis /analysis/,Formula bar,"As an analyst, I want the selected cell's coordinate, expression and operand lineage, so that I can audit the arithmetic.","'ROW · PERIOD', '= expression' (passport derivation or row formula), lineage chips, method (or confidence · variance).",sections/analysis/FormulaBar.tsx,unit analysis.test; browser,PASS,,,PASS (re-tested 2026-09-11),Passing
